Type of Travel,Origin Zone ID,Origin Zone Name,Origin Zone Is Pass-Through,Origin Zone Direction (degrees),Origin Zone is Bi-Direction,Middle Filter Zone ID,Middle Filter Zone Name,Middle Filter Zone Direction (degrees),Middle Filter Zone is Bi-Direction,Destination Zone ID,Destination Zone Name,Destination Zone Is Pass-Through,Destination Zone Direction (degrees),Destination Zone is Bi-Direction,Day Type,Day Part,Average Daily O-M-D Traffic (StL Index),Average Daily Origin Zone Traffic (StL Index),Average Daily Middle Filter Zone Traffic (StL Index),Average Daily Destination Zone Traffic (StL Index),Avg Trip Duration (sec)
Personal,,Baychester Ave/E233 St,yes,N/A,no,,Baychester Ave/Strang Ave,346,no,,Wilder Ave NB,yes,339,no,0: All Days (M-Su),0: All Day (12am-12am),25,27611,5448,278,553
Personal,,Baychester Ave/E233 St,yes,N/A,no,,Baychester Ave/Strang Ave,346,no,,Wilder Ave NB,yes,339,no,0: All Days (M-Su),1: Peak AM (7am-10am),1,4158,828,48,263
Personal,,Baychester Ave/E233 St,yes,N/A,no,,Baychester Ave/Strang Ave,346,no,,Wilder Ave NB,yes,339,no,0: All Days (M-Su),2: Peak PM (4pm-7pm),4,6131,1178,59,455
Personal,,Baychester Ave/E233 St,yes,N/A,no,,Baychester Ave/Strang Ave,346,no,,Wilder Ave NB,yes,339,no,1: Weekday (Tu-Th),0: All Day (12am-12am),20,27883,5507,246,650
Personal,,Baychester Ave/E233 St,yes,N/A,no,,Baychester Ave/Strang Ave,346,no,,Wilder Ave NB,yes,339,no,1: Weekday (Tu-Th),2: Peak PM (4pm-7pm),3,6415,1239,57,272
Personal,,Baychester Ave/E233 St,yes,N/A,no,,Wilder Ave DMF,338,no,,Wilder Ave NB,yes,339,no,0: All Days (M-Su),0: All Day (12am-12am),27,27611,267,278,614
Personal,,Baychester Ave/E233 St,yes,N/A,no,,Wilder Ave DMF,338,no,,Wilder Ave NB,yes,339,no,0: All Days (M-Su),1: Peak AM (7am-10am),1,4158,42,48,263
Personal,,Baychester Ave/E233 St,yes,N/A,no,,Wilder Ave DMF,338,no,,Wilder Ave NB,yes,339,no,0: All Days (M-Su),2: Peak PM (4pm-7pm),4,6131,58,59,467
Personal,,Baychester Ave/E233 St,yes,N/A,no,,Wilder Ave DMF,338,no,,Wilder Ave NB,yes,339,no,1: Weekday (Tu-Th),0: All Day (12am-12am),24,27883,240,246,672
Personal,,Baychester Ave/E233 St,yes,N/A,no,,Wilder Ave DMF,338,no,,Wilder Ave NB,yes,339,no,1: Weekday (Tu-Th),2: Peak PM (4pm-7pm),3,6415,62,57,272
Personal,,Baychester Ave/E233 St,yes,N/A,no,,Wilder Ave/Pitman Ave,344,no,,Baychester Ave NB,yes,342,no,0: All Days (M-Su),0: All Day (12am-12am),3,27611,463,4923,674
Personal,,Baychester Ave/E233 St,yes,N/A,no,,Wilder Ave/Pitman Ave,344,no,,Baychester Ave NB,yes,342,no,1: Weekday (Tu-Th),0: All Day (12am-12am),3,27883,470,4823,674
Personal,,Baychester Ave/E233 St,yes,N/A,no,,Wilder Ave/Pitman Ave,344,no,,Wilder Ave NB,yes,339,no,0: All Days (M-Su),0: All Day (12am-12am),3,27611,463,278,637
Personal,,Baychester Ave/E233 St,yes,N/A,no,,Wilder Ave/Pitman Ave,344,no,,Wilder Ave NB,yes,339,no,0: All Days (M-Su),2: Peak PM (4pm-7pm),1,6131,76,59,340
Personal,,Baychester Ave/E233 St,yes,N/A,no,,Wilder Ave/Pitman Ave,344,no,,Wilder Ave NB,yes,339,no,1: Weekday (Tu-Th),0: All Day (12am-12am),2,27883,470,246,934
Personal,,Baychester Ave/E233 St,yes,N/A,no,,Wilder Ave/Strang Ave,342,no,,Baychester Ave NB,yes,342,no,0: All Days (M-Su),0: All Day (12am-12am),5,27611,579,4923,1340
Personal,,Baychester Ave/E233 St,yes,N/A,no,,Wilder Ave/Strang Ave,342,no,,Baychester Ave NB,yes,342,no,1: Weekday (Tu-Th),0: All Day (12am-12am),3,27883,555,4823,987
Personal,,Baychester Ave/E233 St,yes,N/A,no,,Wilder Ave/Strang Ave,342,no,,Wilder Ave NB,yes,339,no,0: All Days (M-Su),0: All Day (12am-12am),1,27611,579,278,340
Personal,,Baychester Ave/E233 St,yes,N/A,no,,Wilder Ave/Strang Ave,342,no,,Wilder Ave NB,yes,339,no,0: All Days (M-Su),2: Peak PM (4pm-7pm),1,6131,150,59,340
