Type of Travel,Origin Zone ID,Origin Zone Name,Origin Zone Is Pass-Through,Origin Zone Direction (degrees),Origin Zone is Bi-Direction,Middle Filter Zone ID,Middle Filter Zone Name,Middle Filter Zone Direction (degrees),Middle Filter Zone is Bi-Direction,Destination Zone ID,Destination Zone Name,Destination Zone Is Pass-Through,Destination Zone Direction (degrees),Destination Zone is Bi-Direction,Day Type,Day Part,Average Daily O-M-D Traffic (StL Index),Average Daily Origin Zone Traffic (StL Index),Average Daily Middle Filter Zone Traffic (StL Index),Average Daily Destination Zone Traffic (StL Index),Avg Trip Duration (sec)
Personal,,Lafayette/Ashland,yes,N/A,no,,Gates before Washington Ave,80,no,,Fulton St beforw Franklin AVE,yes,105,no,0: All Days (M-Su),0: All Day (12am-12am),48,35617,3024,20954,1256
Personal,,Lafayette/Ashland,yes,N/A,no,,Gates before Washington Ave,80,no,,Fulton St beforw Franklin AVE,yes,105,no,0: All Days (M-Su),2: Peak PM (4pm-7pm),9,7663,640,4396,969
Personal,,Lafayette/Ashland,yes,N/A,no,,Gates before Washington Ave,80,no,,Fulton St beforw Franklin AVE,yes,105,no,1: Weekday (Tu-Th),0: All Day (12am-12am),84,36761,3163,21954,1763
Personal,,Lafayette/Ashland,yes,N/A,no,,Gates before Washington Ave,80,no,,Fulton St beforw Franklin AVE,yes,105,no,1: Weekday (Tu-Th),2: Peak PM (4pm-7pm),21,7230,661,4848,969
Personal,,Lafayette/Ashland,yes,N/A,no,,Gates before Washington Ave,80,no,,Gates before Franklin Ave,yes,81,no,0: All Days (M-Su),0: All Day (12am-12am),48,35617,3024,4492,529
Personal,,Lafayette/Ashland,yes,N/A,no,,Gates before Washington Ave,80,no,,Gates before Franklin Ave,yes,81,no,0: All Days (M-Su),1: Peak AM (7am-10am),7,3901,403,577,554
Personal,,Lafayette/Ashland,yes,N/A,no,,Gates before Washington Ave,80,no,,Gates before Franklin Ave,yes,81,no,0: All Days (M-Su),2: Peak PM (4pm-7pm),8,7663,640,1076,728
Personal,,Lafayette/Ashland,yes,N/A,no,,Gates before Washington Ave,80,no,,Gates before Franklin Ave,yes,81,no,1: Weekday (Tu-Th),0: All Day (12am-12am),12,36761,3163,4696,520
Personal,,Lafayette/Ashland,yes,N/A,no,,Gates before Washington Ave,80,no,,Greene before Franklin Ave,yes,82,no,0: All Days (M-Su),0: All Day (12am-12am),5,35617,3024,6975,N/A
Personal,,Lafayette/Ashland,yes,N/A,no,,Gates before Washington Ave,80,no,,Greene before Franklin Ave,yes,82,no,1: Weekday (Tu-Th),0: All Day (12am-12am),12,36761,3163,7620,N/A
Personal,,Lafayette/Ashland,yes,N/A,no,,Greene Ave after Fulton St,81,no,,Fulton St beforw Franklin AVE,yes,105,no,0: All Days (M-Su),0: All Day (12am-12am),18,35617,8385,20954,840
Personal,,Lafayette/Ashland,yes,N/A,no,,Greene Ave after Fulton St,81,no,,Gates before Franklin Ave,yes,81,no,0: All Days (M-Su),0: All Day (12am-12am),33,35617,8385,4492,594
Personal,,Lafayette/Ashland,yes,N/A,no,,Greene Ave after Fulton St,81,no,,Gates before Franklin Ave,yes,81,no,1: Weekday (Tu-Th),0: All Day (12am-12am),29,36761,9031,4696,536
Personal,,Lafayette/Ashland,yes,N/A,no,,Greene Ave after Fulton St,81,no,,Greene before Franklin Ave,yes,82,no,0: All Days (M-Su),0: All Day (12am-12am),325,35617,8385,6975,699
Personal,,Lafayette/Ashland,yes,N/A,no,,Greene Ave after Fulton St,81,no,,Greene before Franklin Ave,yes,82,no,0: All Days (M-Su),2: Peak PM (4pm-7pm),91,7663,2154,2015,850
Personal,,Lafayette/Ashland,yes,N/A,no,,Greene Ave after Fulton St,81,no,,Greene before Franklin Ave,yes,82,no,1: Weekday (Tu-Th),0: All Day (12am-12am),434,36761,9031,7620,775
Personal,,Lafayette/Ashland,yes,N/A,no,,Greene Ave after Fulton St,81,no,,Greene before Franklin Ave,yes,82,no,1: Weekday (Tu-Th),2: Peak PM (4pm-7pm),131,7230,2161,2399,946
