Type of Travel,Origin Zone ID,Origin Zone Name,Origin Zone Is Pass-Through,Origin Zone Direction (degrees),Origin Zone is Bi-Direction,Middle Filter Zone ID,Middle Filter Zone Name,Middle Filter Zone Direction (degrees),Middle Filter Zone is Bi-Direction,Destination Zone ID,Destination Zone Name,Destination Zone Is Pass-Through,Destination Zone Direction (degrees),Destination Zone is Bi-Direction,Day Type,Day Part,Average Daily O-M-D Traffic (StL Index),Average Daily Origin Zone Traffic (StL Index),Average Daily Middle Filter Zone Traffic (StL Index),Average Daily Destination Zone Traffic (StL Index),Avg Trip Duration (sec)
Personal,,Baychester Ave/E241 St,yes,N/A,no,,Baychester Ave past Camp St,164,no,,Baychester Ave SB,yes,165,no,0: All Days (M-Su),0: All Day (12am-12am),2560,16401,6696,7379,310
Personal,,Baychester Ave/E241 St,yes,N/A,no,,Baychester Ave past Camp St,164,no,,Baychester Ave SB,yes,165,no,0: All Days (M-Su),1: Peak AM (7am-10am),360,2322,932,1103,320
Personal,,Baychester Ave/E241 St,yes,N/A,no,,Baychester Ave past Camp St,164,no,,Baychester Ave SB,yes,165,no,0: All Days (M-Su),2: Peak PM (4pm-7pm),554,3362,1487,1504,344
Personal,,Baychester Ave/E241 St,yes,N/A,no,,Baychester Ave past Camp St,164,no,,Baychester Ave SB,yes,165,no,1: Weekday (Tu-Th),0: All Day (12am-12am),2508,16339,6676,7083,314
Personal,,Baychester Ave/E241 St,yes,N/A,no,,Baychester Ave past Camp St,164,no,,Baychester Ave SB,yes,165,no,1: Weekday (Tu-Th),1: Peak AM (7am-10am),491,2777,1195,1338,347
Personal,,Baychester Ave/E241 St,yes,N/A,no,,Baychester Ave past Camp St,164,no,,Baychester Ave SB,yes,165,no,1: Weekday (Tu-Th),2: Peak PM (4pm-7pm),588,3640,1577,1534,326
Personal,,Baychester Ave/E241 St,yes,N/A,no,,Baychester Ave past Camp St,164,no,,Dereimer Ave SB,yes,164,no,0: All Days (M-Su),0: All Day (12am-12am),35,16401,6696,792,602
Personal,,Baychester Ave/E241 St,yes,N/A,no,,Baychester Ave past Camp St,164,no,,Dereimer Ave SB,yes,164,no,0: All Days (M-Su),1: Peak AM (7am-10am),9,2322,932,188,1036
Personal,,Baychester Ave/E241 St,yes,N/A,no,,Baychester Ave past Camp St,164,no,,Dereimer Ave SB,yes,164,no,0: All Days (M-Su),2: Peak PM (4pm-7pm),4,3362,1487,134,226
Personal,,Baychester Ave/E241 St,yes,N/A,no,,Baychester Ave past Camp St,164,no,,Dereimer Ave SB,yes,164,no,1: Weekday (Tu-Th),0: All Day (12am-12am),47,16339,6676,863,638
Personal,,Baychester Ave/E241 St,yes,N/A,no,,Baychester Ave past Camp St,164,no,,Dereimer Ave SB,yes,164,no,1: Weekday (Tu-Th),1: Peak AM (7am-10am),10,2777,1195,238,1113
Personal,,Baychester Ave/E241 St,yes,N/A,no,,Baychester Ave past Camp St,164,no,,Dereimer Ave SB,yes,164,no,1: Weekday (Tu-Th),2: Peak PM (4pm-7pm),7,3640,1577,137,240
Personal,,Baychester Ave/E241 St,yes,N/A,no,,Baychester Ave past Camp St,164,no,,Wilder Ave SB,yes,166,no,0: All Days (M-Su),0: All Day (12am-12am),30,16401,6696,540,407
Personal,,Baychester Ave/E241 St,yes,N/A,no,,Baychester Ave past Camp St,164,no,,Wilder Ave SB,yes,166,no,0: All Days (M-Su),1: Peak AM (7am-10am),4,2322,932,87,451
Personal,,Baychester Ave/E241 St,yes,N/A,no,,Baychester Ave past Camp St,164,no,,Wilder Ave SB,yes,166,no,0: All Days (M-Su),2: Peak PM (4pm-7pm),11,3362,1487,93,322
Personal,,Baychester Ave/E241 St,yes,N/A,no,,Baychester Ave past Camp St,164,no,,Wilder Ave SB,yes,166,no,1: Weekday (Tu-Th),0: All Day (12am-12am),41,16339,6676,586,448
Personal,,Baychester Ave/E241 St,yes,N/A,no,,Baychester Ave past Camp St,164,no,,Wilder Ave SB,yes,166,no,1: Weekday (Tu-Th),1: Peak AM (7am-10am),2,2777,1195,112,219
Personal,,Baychester Ave/E241 St,yes,N/A,no,,Baychester Ave past Camp St,164,no,,Wilder Ave SB,yes,166,no,1: Weekday (Tu-Th),2: Peak PM (4pm-7pm),16,3640,1577,108,244
Personal,,Baychester Ave/E241 St,yes,N/A,no,,Dereimer Ave before Bussing Ave,162,no,,Baychester Ave SB,yes,165,no,0: All Days (M-Su),0: All Day (12am-12am),1,16401,759,7379,411
Personal,,Baychester Ave/E241 St,yes,N/A,no,,Dereimer Ave before Bussing Ave,162,no,,Dereimer Ave SB,yes,164,no,0: All Days (M-Su),0: All Day (12am-12am),3,16401,759,792,1244
Personal,,Baychester Ave/E241 St,yes,N/A,no,,Dereimer Ave before Bussing Ave,162,no,,Dereimer Ave SB,yes,164,no,0: All Days (M-Su),1: Peak AM (7am-10am),2,2322,126,188,1594
Personal,,Baychester Ave/E241 St,yes,N/A,no,,Dereimer Ave before Bussing Ave,162,no,,Dereimer Ave SB,yes,164,no,1: Weekday (Tu-Th),0: All Day (12am-12am),4,16339,692,863,1594
Personal,,Baychester Ave/E241 St,yes,N/A,no,,Dereimer Ave before Bussing Ave,162,no,,Dereimer Ave SB,yes,164,no,1: Weekday (Tu-Th),1: Peak AM (7am-10am),4,2777,160,238,1594
Personal,,Baychester Ave/E241 St,yes,N/A,no,,Dereimer Ave DMF,165,no,,Dereimer Ave SB,yes,164,no,0: All Days (M-Su),0: All Day (12am-12am),41,16401,716,792,652
Personal,,Baychester Ave/E241 St,yes,N/A,no,,Dereimer Ave DMF,165,no,,Dereimer Ave SB,yes,164,no,0: All Days (M-Su),1: Peak AM (7am-10am),11,2322,131,188,834
Personal,,Baychester Ave/E241 St,yes,N/A,no,,Dereimer Ave DMF,165,no,,Dereimer Ave SB,yes,164,no,0: All Days (M-Su),2: Peak PM (4pm-7pm),7,3362,135,134,527
