Type of Travel,Origin Zone ID,Origin Zone Name,Origin Zone Is Pass-Through,Origin Zone Direction (degrees),Origin Zone is Bi-Direction,Middle Filter Zone ID,Middle Filter Zone Name,Middle Filter Zone Direction (degrees),Middle Filter Zone is Bi-Direction,Destination Zone ID,Destination Zone Name,Destination Zone Is Pass-Through,Destination Zone Direction (degrees),Destination Zone is Bi-Direction,Day Type,Day Part,Average Daily O-M-D Traffic (StL Index),Average Daily Origin Zone Traffic (StL Index),Average Daily Middle Filter Zone Traffic (StL Index),Average Daily Destination Zone Traffic (StL Index),Avg Trip Duration (sec)
Personal,,Baychester Ave/E233 St,yes,N/A,no,,Baychester Ave/Strang Ave,346,no,,Wilder Ave NB,yes,339,no,0: All Days (M-Su),0: All Day (12am-12am),32,39165,7531,344,379
Personal,,Baychester Ave/E233 St,yes,N/A,no,,Baychester Ave/Strang Ave,346,no,,Wilder Ave NB,yes,339,no,0: All Days (M-Su),1: Peak AM (7am-10am),3,5826,1072,51,209
Personal,,Baychester Ave/E233 St,yes,N/A,no,,Baychester Ave/Strang Ave,346,no,,Wilder Ave NB,yes,339,no,0: All Days (M-Su),2: Peak PM (4pm-7pm),6,8500,1595,77,335
Personal,,Baychester Ave/E233 St,yes,N/A,no,,Baychester Ave/Strang Ave,346,no,,Wilder Ave NB,yes,339,no,1: Weekday (Tu-Th),0: All Day (12am-12am),24,39396,7694,320,365
Personal,,Baychester Ave/E233 St,yes,N/A,no,,Baychester Ave/Strang Ave,346,no,,Wilder Ave NB,yes,339,no,1: Weekday (Tu-Th),1: Peak AM (7am-10am),4,7181,1325,73,250
Personal,,Baychester Ave/E233 St,yes,N/A,no,,Baychester Ave/Strang Ave,346,no,,Wilder Ave NB,yes,339,no,1: Weekday (Tu-Th),2: Peak PM (4pm-7pm),6,8894,1731,72,331
Personal,,Baychester Ave/E233 St,yes,N/A,no,,Wilder Ave DMF,338,no,,Wilder Ave NB,yes,339,no,0: All Days (M-Su),0: All Day (12am-12am),43,39165,345,344,428
Personal,,Baychester Ave/E233 St,yes,N/A,no,,Wilder Ave DMF,338,no,,Wilder Ave NB,yes,339,no,0: All Days (M-Su),1: Peak AM (7am-10am),4,5826,51,51,209
Personal,,Baychester Ave/E233 St,yes,N/A,no,,Wilder Ave DMF,338,no,,Wilder Ave NB,yes,339,no,0: All Days (M-Su),2: Peak PM (4pm-7pm),8,8500,75,77,375
Personal,,Baychester Ave/E233 St,yes,N/A,no,,Wilder Ave DMF,338,no,,Wilder Ave NB,yes,339,no,1: Weekday (Tu-Th),0: All Day (12am-12am),40,39396,319,320,428
Personal,,Baychester Ave/E233 St,yes,N/A,no,,Wilder Ave DMF,338,no,,Wilder Ave NB,yes,339,no,1: Weekday (Tu-Th),1: Peak AM (7am-10am),7,7181,73,73,250
Personal,,Baychester Ave/E233 St,yes,N/A,no,,Wilder Ave DMF,338,no,,Wilder Ave NB,yes,339,no,1: Weekday (Tu-Th),2: Peak PM (4pm-7pm),8,8894,69,72,337
Personal,,Baychester Ave/E233 St,yes,N/A,no,,Wilder Ave/Pitman Ave,344,no,,Baychester Ave NB,yes,342,no,0: All Days (M-Su),0: All Day (12am-12am),13,39165,689,6997,612
Personal,,Baychester Ave/E233 St,yes,N/A,no,,Wilder Ave/Pitman Ave,344,no,,Baychester Ave NB,yes,342,no,0: All Days (M-Su),2: Peak PM (4pm-7pm),5,8500,155,1298,837
Personal,,Baychester Ave/E233 St,yes,N/A,no,,Wilder Ave/Pitman Ave,344,no,,Baychester Ave NB,yes,342,no,1: Weekday (Tu-Th),0: All Day (12am-12am),11,39396,675,6959,323
Personal,,Baychester Ave/E233 St,yes,N/A,no,,Wilder Ave/Pitman Ave,344,no,,Baychester Ave NB,yes,342,no,1: Weekday (Tu-Th),2: Peak PM (4pm-7pm),6,8894,170,1407,335
Personal,,Baychester Ave/E233 St,yes,N/A,no,,Wilder Ave/Pitman Ave,344,no,,Wilder Ave NB,yes,339,no,0: All Days (M-Su),0: All Day (12am-12am),10,39165,689,344,631
Personal,,Baychester Ave/E233 St,yes,N/A,no,,Wilder Ave/Pitman Ave,344,no,,Wilder Ave NB,yes,339,no,0: All Days (M-Su),2: Peak PM (4pm-7pm),1,8500,155,77,350
Personal,,Baychester Ave/E233 St,yes,N/A,no,,Wilder Ave/Pitman Ave,344,no,,Wilder Ave NB,yes,339,no,1: Weekday (Tu-Th),0: All Day (12am-12am),10,39396,675,320,474
Personal,,Baychester Ave/E233 St,yes,N/A,no,,Wilder Ave/Pitman Ave,344,no,,Wilder Ave NB,yes,339,no,1: Weekday (Tu-Th),2: Peak PM (4pm-7pm),2,8894,170,72,350
Personal,,Baychester Ave/E233 St,yes,N/A,no,,Wilder Ave/Strang Ave,342,no,,Baychester Ave NB,yes,342,no,0: All Days (M-Su),0: All Day (12am-12am),6,39165,661,6997,801
Personal,,Baychester Ave/E233 St,yes,N/A,no,,Wilder Ave/Strang Ave,342,no,,Baychester Ave NB,yes,342,no,0: All Days (M-Su),1: Peak AM (7am-10am),1,5826,59,1056,383
Personal,,Baychester Ave/E233 St,yes,N/A,no,,Wilder Ave/Strang Ave,342,no,,Baychester Ave NB,yes,342,no,0: All Days (M-Su),2: Peak PM (4pm-7pm),1,8500,176,1298,1253
Personal,,Baychester Ave/E233 St,yes,N/A,no,,Wilder Ave/Strang Ave,342,no,,Baychester Ave NB,yes,342,no,1: Weekday (Tu-Th),0: All Day (12am-12am),8,39396,618,6959,341
Personal,,Baychester Ave/E233 St,yes,N/A,no,,Wilder Ave/Strang Ave,342,no,,Baychester Ave NB,yes,342,no,1: Weekday (Tu-Th),1: Peak AM (7am-10am),3,7181,67,1266,383
Personal,,Baychester Ave/E233 St,yes,N/A,no,,Wilder Ave/Strang Ave,342,no,,Wilder Ave NB,yes,339,no,0: All Days (M-Su),0: All Day (12am-12am),7,39165,661,344,470
Personal,,Baychester Ave/E233 St,yes,N/A,no,,Wilder Ave/Strang Ave,342,no,,Wilder Ave NB,yes,339,no,0: All Days (M-Su),2: Peak PM (4pm-7pm),1,8500,176,77,350
Personal,,Baychester Ave/E233 St,yes,N/A,no,,Wilder Ave/Strang Ave,342,no,,Wilder Ave NB,yes,339,no,1: Weekday (Tu-Th),0: All Day (12am-12am),9,39396,618,320,396
Personal,,Baychester Ave/E233 St,yes,N/A,no,,Wilder Ave/Strang Ave,342,no,,Wilder Ave NB,yes,339,no,1: Weekday (Tu-Th),2: Peak PM (4pm-7pm),2,8894,180,72,350
